"id","contestant_id","season_id","franchise_id","contestant","hometown","age","rank","link_image"
"F10S12C09","Q282","F10S12","F10","Jan","New York City, New York","26","7th place","https://static.wikia.nocookie.net/logosrupaulsdragrace/images/a/a9/JanS12CastMug.png"
"F10S12C10","Q283","F10S12","F10","Nicky Doll","New York City, New York","28","10th place","https://static.wikia.nocookie.net/logosrupaulsdragrace/images/5/5f/NickyDollS12CastMug.png"
"F10S12C11","Q284","F10S12","F10","Rock M. Sakura","San Francisco, California","28","11th place","https://static.wikia.nocookie.net/logosrupaulsdragrace/images/d/dd/RockMSakuraS12CastMug.png"
"F10S12C12","Q285","F10S12","F10","Sherry Pie","New York City, New York","27","Disqualified","https://static.wikia.nocookie.net/logosrupaulsdragrace/images/e/ea/SherryPieS12CastMug.png"
"F10S12C13","Q286","F10S12","F10","Widow Von'Du","Kansas City, Missouri","30","6th place","https://static.wikia.nocookie.net/logosrupaulsdragrace/images/3/3d/WidowVon%27DuS12CastMug.png"
"F10S13C01","Q310","F10S13","F10","Denali","Chicago, Illinois","28","8th place","https://static.wikia.nocookie.net/logosrupaulsdragrace/images/3/36/DenaliS13CastMug.jpg"
"F10S13C02","Q311","F10S13","F10","Elliott with 2 Ts","Las Vegas, Nevada","26","9th place","https://static.wikia.nocookie.net/logosrupaulsdragrace/images/0/0b/ElliottWith2T%27sS13CastMug.jpg"
"F10S13C03","Q312","F10S13","F10","Gottmik","Los Angeles, California","23","3rd place","https://static.wikia.nocookie.net/logosrupaulsdragrace/images/b/bd/GottmikS13CastMug.jpg"
"F10S13C04","Q313","F10S13","F10","Joey Jay","Phoenix, Arizona","30","12th place","https://static.wikia.nocookie.net/logosrupaulsdragrace/images/a/a7/JoeyJayS13CastMug.jpg"
"F10S13C05","Q314","F10S13","F10","Kahmora Hall","Chicago, Illinois","28","13th place","https://static.wikia.nocookie.net/logosrupaulsdragrace/images/e/e5/KahmoraHallS13CastMug.jpg"
"F10S13C06","Q315","F10S13","F10","Kandy Muse","New York City, New York","25","Runner-up","https://static.wikia.nocookie.net/logosrupaulsdragrace/images/6/63/KandyMuseS13CastMug.jpg"
"F10S13C07","Q316","F10S13","F10","LaLa Ri","Atlanta, Georgia","30","10th place","https://static.wikia.nocookie.net/logosrupaulsdragrace/images/e/e0/LaLaRiS13CastMug.jpg"
"F10S13C08","Q317","F10S13","F10","Olivia Lux","New York City, New York","26","5th place","https://static.wikia.nocookie.net/logosrupaulsdragrace/images/4/4f/OliviaLuxS13CastMug.jpg"
"F10S13C09","Q318","F10S13","F10","Rosé","New York City, New York","31","3rd place","https://static.wikia.nocookie.net/logosrupaulsdragrace/images/7/74/Ros%C3%A9S13CastMug.jpg"
"F10S13C10","Q319","F10S13","F10","Symone","Los Angeles, California","25","Winner","https://static.wikia.nocookie.net/logosrupaulsdragrace/images/7/7d/SymoneS13CastMug.jpg"
"F10S13C11","Q320","F10S13","F10","Tamisha Iman","Atlanta, Georgia","49","11th place","https://static.wikia.nocookie.net/logosrupaulsdragrace/images/3/35/TamishaImanS13CastMug.jpg"
"F10S13C12","Q321","F10S13","F10","Tina Burner","New York City, New York","39","7th place","https://static.wikia.nocookie.net/logosrupaulsdragrace/images/4/44/TinaBurnerS13CastMug.jpg"
"F10S13C13","Q322","F10S13","F10","Utica Queen","Utica, Minnesota","25","6th place","https://static.wikia.nocookie.net/logosrupaulsdragrace/images/d/dc/UticaQueenS13CastMug.jpg"
"F10S14C01","Q374","F10S14","F10","Alyssa Hunter","Cataño, Puerto Rico","26","13th place","https://static.wikia.nocookie.net/logosrupaulsdragrace/images/e/ec/AlyssaHunterS14CastMug.jpg"
"F10S14C02","Q375","F10S14","F10","Angeria Paris VanMicheals","Atlanta, Georgia","27","3rd place","https://static.wikia.nocookie.net/logosrupaulsdragrace/images/5/5e/AngeriaParisVanMichealsS14CastMug.jpg"
"F10S14C03","Q376","F10S14","F10","Bosco","Seattle, Washington","28","3rd place","https://static.wikia.nocookie.net/logosrupaulsdragrace/images/5/56/BoscoS14CastMug.jpg"
"F10S14C04","Q377","F10S14","F10","Daya Betty","Springfield, Missouri","25","3rd place","https://static.wikia.nocookie.net/logosrupaulsdragrace/images/6/69/DayaBettyS14CastMug.jpg"
"F10S14C05","Q378","F10S14","F10","DeJa Skye","Fresno, California","31","6th place","https://static.wikia.nocookie.net/logosrupaulsdragrace/images/a/a4/DeJaSkyeS14CastMug.jpg"
"F10S14C06","Q379","F10S14","F10","Jasmine Kennedie","New York City, New York","22","8th place","https://static.wikia.nocookie.net/logosrupaulsdragrace/images/0/0c/JasmineKennedieS14CastMug.jpg"
"F10S14C07","Q380","F10S14","F10","Jorgeous","Nashville, Tennessee","21","6th place","https://static.wikia.nocookie.net/logosrupaulsdragrace/images/f/fa/JorgeousS14CastMug.jpg"
"F10S14C08","Q381","F10S14","F10","June Jambalaya","Los Angeles, California","29","14th place","https://static.wikia.nocookie.net/logosrupaulsdragrace/images/3/3c/JuneJambalayaS14CastMug.jpg"
"F10S14C09","Q382","F10S14","F10","Kerri Colby","Los Angeles, California","24","9th place","https://static.wikia.nocookie.net/logosrupaulsdragrace/images/3/30/KerriColbyS14CastMug.jpg"
"F10S14C10","Q383","F10S14","F10","Kornbread ""The Snack"" Jeté","Los Angeles, California","29","12th place",""
"F10S14C11","Q384","F10S14","F10","Lady Camden","Sacramento, California","31","Runner-up","https://static.wikia.nocookie.net/logosrupaulsdragrace/images/c/c1/LadyCamdenS14CastMug.jpg"
"F10S14C12","Q385","F10S14","F10","Maddy Morphosis","Fayetteville, Arkansas","26","10th place","https://static.wikia.nocookie.net/logosrupaulsdragrace/images/d/dd/MaddyMorphosisS14CastMug.jpg"
"F10S14C13","Q386","F10S14","F10","Orion Story","Grand Rapids, Michigan","25","11th place","https://static.wikia.nocookie.net/logosrupaulsdragrace/images/4/4a/OrionStoryS14CastMug.jpg"
"F10S14C14","Q387","F10S14","F10","Willow Pill","Denver, Colorado","26","Winner","https://static.wikia.nocookie.net/logosrupaulsdragrace/images/b/b4/WillowPillS14CastMug.jpg"
"F11S01C01","Q121","F11S01","F11","Alexis Mateo","Tampa, Florida","32","5th place","https://static.wikia.nocookie.net/logosrupaulsdragrace/images/9/97/AlexisMateoAS1CastMug.png"
"F11S01C02","Q134","F11S01","F11","Chad Michaels","San Diego, California","41","Winner","https://static.wikia.nocookie.net/logosrupaulsdragrace/images/a/ad/ChadMichaelsAS1CastMug.png"
